id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
3,1,1,1,https://gfzq.cn,gfzq.cn,0,gfzq.cn,116.31.73.135,1,1,443,200,OK,Welcome to nginx!,nginx/1.12.1,116.31.72.0/22,AS58466,ChinaNet Guangdong Province Network,中国广东省广州市,电信,CensysAPIQuery
4,1,1,1,http://gfzq.cn,gfzq.cn,0,gfzq.cn,116.31.73.135,1,1,80,403,Forbidden,您的访问请求可能对网站造成安全威胁，请求已被阻断。,,116.31.72.0/22,AS58466,ChinaNet Guangdong Province Network,中国广东省广州市,电信,CensysAPIQuery
19,0,0,1,http://ios.gfzq.cn,ios.gfzq.cn,1,ios.gfzq.cn,121.8.190.123,1,1,80,,"(MaxRetryError(""HTTPConnectionPool(host='ios.gfzq.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001535AA00D30>, 'Connection to ios.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,121.8.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,Brute
20,0,0,1,https://ios.gfzq.cn,ios.gfzq.cn,1,ios.gfzq.cn,121.8.190.123,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='ios.gfzq.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000015356F91A00>, 'Connection to ios.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,121.8.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,Brute
31,0,0,1,http://lyncdiscover.gfzq.cn,lyncdiscover.gfzq.cn,1,lyncdiscover.gfzq.cn,121.8.190.123,1,1,80,,"(MaxRetryError(""HTTPConnectionPool(host='lyncdiscover.gfzq.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000015357184F70>, 'Connection to lyncdiscover.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,121.8.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,Brute
32,0,0,1,https://lyncdiscover.gfzq.cn,lyncdiscover.gfzq.cn,1,lyncdiscover.gfzq.cn,121.8.190.123,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='lyncdiscover.gfzq.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000015357175970>, 'Connection to lyncdiscover.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,121.8.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,Brute
23,0,0,1,http://lyncweb.gfzq.cn,lyncweb.gfzq.cn,1,lyncweb.gfzq.cn,121.8.190.123,1,1,80,,"(MaxRetryError(""HTTPConnectionPool(host='lyncweb.gfzq.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000015358C35C40>, 'Connection to lyncweb.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,121.8.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,Brute
24,0,0,1,https://lyncweb.gfzq.cn,lyncweb.gfzq.cn,1,lyncweb.gfzq.cn,121.8.190.123,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='lyncweb.gfzq.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000015358C358B0>, 'Connection to lyncweb.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,121.8.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,Brute
9,0,0,1,http://mail.gfzq.cn,mail.gfzq.cn,1,mail.gfzq.cn,121.8.190.123,1,1,80,,"(MaxRetryError(""HTTPConnectionPool(host='mail.gfzq.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000015358931FA0>, 'Connection to mail.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,121.8.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,CensysAPIQuery
10,0,0,1,https://mail.gfzq.cn,mail.gfzq.cn,1,mail.gfzq.cn,121.8.190.123,1,1,443,,"(MaxRetryError(""HTTPSConnectionPool(host='mail.gfzq.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001535A8A7820>, 'Connection to mail.gfzq.cn timed out. (connect timeout=3.05)'))""),)",,,121.8.0.0/16,AS4134,China Telecom,中国广东省广州市,电信,CensysAPIQuery
35,0,0,1,http://mcg.gfzq.cn,mcg.gfzq.cn,1,mcg.gfzq.cn,58.63.239.179,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='mcg.gfzq.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000015356FCBFD0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))""),)",,,58.63.232.0/21,AS58466,ChinaNet Guangdong Province Network,中国广东省广州市,电信,Brute
